ABs	CLI	TET	FUS	LIN	TRM	IMI	MER	FOX	OXA	VAN	CLO	AMP	CPR	TOB
CLI	2.000	1.766	1.917	3.083	3.184	3.522	3.537	3.524	3.546	3.355	3.620	3.248	3.072	1.068
TET	1.902	2.000	2.194	2.624	2.816	3.429	3.511	3.518	3.457	3.343	3.588	3.287	2.525	1.000
FUS	1.894	1.886	2.000	1.989	3.061	3.479	3.463	3.522	3.514	3.284	3.576	3.311	3.030	1.007
LIN	1.997	1.823	1.825	2.000	3.004	3.513	3.491	3.449	3.454	3.223	3.531	3.166	2.248	1.000
TRM	1.511	1.216	1.329	1.530	2.000	1.000	1.000	1.000	1.000	1.000	1.099	1.000	1.033	1.000
IMI	3.717	3.671	3.694	3.767	3.077	2.000	3.109	3.036	3.186	3.177	3.172	3.037	3.294	1.998
MER	3.702	3.694	3.659	3.735	3.107	3.033	2.000	1.984	3.048	3.018	2.772	1.965	1.984	1.704
FOX	3.686	3.691	3.689	3.706	3.120	1.910	1.990	2.000	1.946	3.084	1.990	2.552	1.910	1.710
OXA	3.678	3.627	3.659	3.688	3.168	3.028	1.941	1.740	2.000	1.815	3.069	1.604	1.665	1.504
VAN	3.564	3.569	3.521	3.575	3.092	3.061	2.126	3.061	1.961	2.000	3.061	1.976	3.019	1.751
CLO	3.738	3.725	3.712	3.739	3.264	3.038	1.854	1.823	3.095	3.045	2.000	1.920	1.779	1.543
AMP	3.554	3.590	3.596	3.600	3.296	3.037	3.058	3.087	3.000	3.082	3.100	2.000	3.050	2.000
CPR	3.292	3.209	3.269	3.322	3.155	3.092	1.986	1.907	1.867	2.461	1.942	1.945	2.000	1.707
TOB	3.084	2.000	3.070	3.084	2.000	2.000	2.000	2.000	2.000	3.035	2.000	2.000	2.000	2.000
